Date                                    , Status                                  , ProjName                                , BoardDefShortName                       , BoardDefName                            , SynthName                               , ImplName                                , SynthInfo                               , SynthWarnings                           , SynthCritWarnings                       , SynthError                              , ImplInfo                                , ImplWarnings                            , ImplCritWarnings                        , ImplError                               , ImplDRCWarnings                         , ImplDRCError                            , ImplTimingWNS                           , ImplTimingFaildEndpoints                , ImplTimingTNS                           ,
2018-07-22T01:25:07                     , Error                                   , zynq_soc                                , ZEDBOARDCUSTOM                          , em.avnet.com:ZEDBOARDCUSTOM:part0:1.3   , synth_1                                 , impl_1                                  , 60                                      , 5                                       , 0                                       , 0                                       , 13                                      , 5                                       , 0                                       , 3                                       , 9                                       ,  2                                      , 12.042                                  , 0                                       , 0.000                                   ,
2018-08-14T21:34:00                     , Ok                                      , zynq_soc                                , ZEDBOARDCUSTOM                          , em.avnet.com:ZEDBOARDCUSTOM:part0:1.3   , synth_1                                 , impl_1                                  , 72                                      , 36                                      , 0                                       , 0                                       , 16                                      , 2                                       , 0                                       , 0                                       , 2                                       ,  0                                      , 4.382                                   , 0                                       , 0.000                                   ,
